Constituency,ConstituencyKey,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
THENI,33,THANGA TAMILSELVAN,DRAVIDA MUNNETRA KAZHAGAM,TTV DHINAKARAN,AMMA MAKKAL MUNNETTRA KAZAGAM,278825,Result Declared
THOOTHUKKUDI,36,KANIMOZHI KARUNANIDHI,DRAVIDA MUNNETRA KAZHAGAM,SIVASAMY VELUMANI R,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,392738,Result Declared
TIKAMGARH,6,DR. VIRENDRA KUMAR,BHARATIYA JANATA PARTY,KHUMAN URF PANKAJ AHIRWAR,INDIAN NATIONAL CONGRESS,403312,Result Declared
TIRUCHIRAPPALLI,24,DURAI VAIKO,MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM,KARUPPAIAH. P,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,313094,Result Declared
TIRUNELVELI,38,ROBERT BRUCE C,INDIAN NATIONAL CONGRESS,NAINAR NAGENTHRAN,BHARATIYA JANATA PARTY,165620,Result Declared
TIRUPPUR,18,"SUBBARAYAN, K.",COMMUNIST PARTY OF INDIA,"ARUNACHALAM, P.",ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,125928,Result Declared
TIRUVALLUR,1,SASIKANTH SENTHIL,INDIAN NATIONAL CONGRESS,"BALAGANAPATHY, V. PON",BHARATIYA JANATA PARTY,572155,Result Declared
TIRUVANNAMALAI,11,"ANNADURAI, C.N.",DRAVIDA MUNNETRA KAZHAGAM,KALIYAPERUMAL M,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,233931,Result Declared
TONK-SAWAI MADHOPUR,12,HARISH CHANDRA MEENA,INDIAN NATIONAL CONGRESS,SUKHBIR SINGH JAUNAPURIA,BHARATIYA JANATA PARTY,64949,Result Declared
TAMLUK,30,ABHIJIT GANGOPADHYAY,BHARATIYA JANATA PARTY,DEBANGSHU BHATTACHARYA,ALL INDIA TRINAMOOL CONGRESS,77733,Result Declared
TEHRI GARHWAL,1,MALA RAJYA LAKSHMI SHAH,BHARATIYA JANATA PARTY,JOT SINGH GUNSOLA,INDIAN NATIONAL CONGRESS,272493,Result Declared
THANE,25,NARESH GANPAT MHASKE,SHIV SENA,RAJAN BABURAO VICHARE,SHIV SENA (UDDHAV BALASAHEB THACKREY),217011,Result Declared
THIRUPATHI(SC),23,GURUMOORTHY MADDILA,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,VARA PRASAD RAO VELAGAPALLI,BHARATIYA JANATA PARTY,14569,Result Declared
THIRUVANANTHAPURAM,20,SHASHI THAROOR,INDIAN NATIONAL CONGRESS,RAJEEV CHANDRASEKHAR,BHARATIYA JANATA PARTY,16077,Result Declared
THRISSUR,10,SURESH GOPI,BHARATIYA JANATA PARTY,ADV V S SUNILKUMAR,COMMUNIST PARTY OF INDIA,74686,Result Declared
TRIPURA EAST,2,KRITI DEVI DEBBARMAN,BHARATIYA JANATA PARTY,RAJENDRA REANG,COMMUNIST PARTY OF INDIA (MARXIST),486819,Result Declared
TRIPURA WEST,1,BIPLAB KUMAR DEB,BHARATIYA JANATA PARTY,ASISH KUMAR SAHA,INDIAN NATIONAL CONGRESS,611578,Result Declared
