ID,State,Constituency,Total Electors,Polled (%),Total Votes,Phase
133,KERALA,ATTINGAL,1396807,69.48,970517,2
134,KERALA,CHALAKUDY,1310529,71.94,942787,2
135,KERALA,ERNAKULAM,1324047,68.29,904131,2
136,KERALA,IDUKKI,1250157,66.55,831936,2
137,KERALA,KANNUR,1358368,77.21,1048839,2
138,KERALA,KASARAGOD,1452230,76.04,1104331,2
139,KERALA,KOLLAM,1326648,68.15,904047,2
140,KERALA,KOTTAYAM,1254823,65.61,823237,2
141,KERALA,KOZHIKODE,1429631,75.52,1079683,2
142,KERALA,MALAPPURAM,1479921,72.95,1079547,2
143,KERALA,MAVELIKKARA,1331880,65.95,878360,2
144,KERALA,PALAKKAD,1398143,73.57,1028627,2
145,KERALA,PATHANAMTHITTA,1429700,63.37,906051,2
146,KERALA,PONNANI,1470804,69.34,1019889,2
147,KERALA,THIRUVANANTHAPURAM,1430531,66.47,950829,2
148,KERALA,THRISSUR,1483055,72.9,1081125,2
149,KERALA,VADAKARA,1421883,78.41,1114950,2
150,KERALA,WAYANAD,1462423,73.57,1075921,2
151,MADHYA PRADESH,DAMOH,1925314,56.48,1087455,2
152,MADHYA PRADESH,HOSHANGABAD,1855692,67.21,1247298,2
153,MADHYA PRADESH,KHAJURAHO,1997483,56.97,1137867,2
154,MADHYA PRADESH,REWA,1852126,49.43,915444,2
155,MADHYA PRADESH,SATNA,1705260,61.94,1056175,2
156,MADHYA PRADESH,TIKAMGARH,1826585,60.0,1096023,2
157,MAHARASHTRA,AKOLA,1890814,61.79,1168366,2
158,MAHARASHTRA,AMRAVATI,1836078,63.67,1169121,2
159,MAHARASHTRA,BULDHANA,1782700,62.03,1105761,2
160,MAHARASHTRA,HINGOLI,1817734,63.54,1154958,2
161,MAHARASHTRA,NANDED,1851843,60.94,1128564,2
162,MAHARASHTRA,PARBHANI,2123056,62.26,1321868,2
163,MAHARASHTRA,WARDHA,1682771,64.85,1091351,2
